marital,sibs,childs,age,educ,adults,happy,dwelown
never_married,1.0,3.0,50.0,13.0,1.0,2.0,other
never_married,5.0,1.0,27.0,14.0,2.0,3.0,owns
divorced,10.0,2.0,67.0,9.0,2.0,2.0,owns
never_married,3.0,1.0,50.0,12.0,1.0,3.0,owns
never_married,4.0,0.0,20.0,14.0,3.0,2.0,owns
married,0.0,2.0,35.0,16.0,2.0,2.0,rents
widowed,5.0,1.0,29.0,12.0,1.0,2.0,other
never_married,0.0,0.0,23.0,16.0,1.0,2.0,other
never_married,3.0,2.0,32.0,18.0,2.0,3.0,owns
widowed,2.0,2.0,81.0,9.0,2.0,1.0,other
never_married,3.0,4.0,47.0,12.0,2.0,2.0,rents
never_married,5.0,0.0,26.0,16.0,1.0,1.0,other
divorced,12.0,2.0,60.0,16.0,1.0,2.0,rents
married,8.0,7.0,34.0,13.0,2.0,3.0,owns
never_married,6.0,7.0,68.0,6.0,1.0,3.0,rents
never_married,0.0,0.0,18.0,11.0,2.0,2.0,rents
never_married,3.0,1.0,25.0,13.0,1.0,2.0,other
never_married,6.0,1.0,38.0,16.0,1.0,2.0,rents
never_married,14.0,1.0,69.0,12.0,1.0,1.0,other
married,10.0,3.0,52.0,5.0,2.0,2.0,other
married,11.0,1.0,62.0,12.0,2.0,2.0,owns
divorced,3.0,2.0,56.0,14.0,2.0,2.0,other
divorced,1.0,0.0,30.0,17.0,1.0,2.0,rents
married,2.0,3.0,31.0,12.0,2.0,3.0,rents
married,2.0,1.0,37.0,12.0,2.0,2.0,other
separated,3.0,1.0,25.0,14.0,2.0,1.0,rents
never_married,3.0,0.0,57.0,14.0,1.0,2.0,rents
married,1.0,2.0,45.0,15.0,2.0,2.0,rents
widowed,6.0,3.0,79.0,10.0,1.0,2.0,owns
married,0.0,1.0,63.0,14.0,2.0,2.0,owns
never_married,4.0,0.0,41.0,12.0,1.0,2.0,rents
widowed,4.0,6.0,69.0,14.0,2.0,2.0,rents
married,4.0,4.0,31.0,13.0,2.0,3.0,other
never_married,2.0,0.0,30.0,18.0,1.0,3.0,other
never_married,2.0,0.0,36.0,18.0,2.0,2.0,owns
widowed,4.0,3.0,70.0,20.0,1.0,2.0,owns
never_married,3.0,0.0,36.0,18.0,1.0,3.0,other
married,1.0,2.0,68.0,17.0,2.0,2.0,owns
never_married,2.0,0.0,29.0,16.0,3.0,2.0,other
never_married,2.0,0.0,52.0,13.0,3.0,2.0,rents
divorced,4.0,2.0,53.0,9.0,1.0,2.0,rents
